,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Final Region
735,Zameer Khan ,2019,2,2,1,60,33,60,61,98,0,0,0,4,0,DEN
736,Zeeshan Siddiqui ,2015,5,5,1,60,33,15,63,95,0,0,0,7,0,OMAN
737,Ariful Haque ,2018,9,8,4,59,18,14,61,96,0,0,1,4,0,BDESH
738,DR Flynn ,2008,5,5,0,59,23,11,51,115,0,0,0,1,4,NZ
739,Hayatullah Niazi ,2019,4,4,1,59,27,19,47,125,0,0,0,3,3,NOR
740,Mohammad Amir ,2009,48,14,6,59,21,7,72,81,0,0,2,2,3,PAK
742,AK Perera ,2013,6,5,0,59,16,11,65,90,0,0,0,5,1,SL
743,IS Sodhi ,2014,40,7,3,59,15,14,56,105,0,0,1,4,3,NZ
744,Aamer Ikram ,2019,4,4,0,58,23,14,73,79,0,0,0,4,4,PORT
745,Abu Hider ,2016,13,5,4,58,22,58,43,134,0,0,0,5,4,BDESH
746,D Heyliger ,2019,11,7,5,58,23,29,42,138,0,0,1,2,3,CAN
748,DF Jacobs ,2019,4,4,0,58,20,14,82,70,0,0,0,7,0,THAI
749,K Mendon ,2019,6,4,4,58,39,0,51,113,0,0,0,5,2,CZK-R
752,CJO Smith ,2007,8,6,1,58,46,11,54,107,0,0,3,6,0,SCOT
753,Alok Kapali ,2007,7,7,2,57,19,11,85,67,0,0,2,3,1,BDESH
754,Fayyaz Butt ,2019,14,6,4,57,25,28,48,118,0,0,0,4,2,OMAN
755,C Jonker ,2018,2,2,0,57,49,28,29,196,0,0,0,5,3,SA
756,A Makesh ,2019,4,2,1,57,57,57,41,139,0,1,0,3,4,KUW
757,GP Meade ,2019,8,5,0,57,18,11,63,90,0,0,0,4,1,ITA
758,A Sarma ,2019,3,3,0,57,28,19,67,85,0,0,0,3,1,GER
759,P Sarraf ,2019,9,8,1,57,18,8,84,67,0,0,3,9,0,NEPAL
760,Sohag Gazi ,2012,10,7,3,57,24,14,59,96,0,0,0,3,1,BDESH
761,AJ Turner ,2017,11,7,3,57,22,14,57,100,0,0,1,1,2,AUS
763,T Banton ,2019,3,3,0,56,31,18,34,164,0,0,0,6,3,ENG
764,JM How ,2007,5,5,0,56,31,11,67,83,0,0,0,5,1,NZ
765,EB Knowles ,2019,7,6,2,56,19,14,54,103,0,0,1,7,1,CZK-R
767,MJ Ross ,2019,8,5,1,56,34,14,42,133,0,0,0,2,3,ITA
768,SMSM Senanayake ,2012,24,12,6,56,17,9,66,84,0,0,2,3,1,SL
769,D Ajekun ,2019,6,6,0,55,17,9,81,67,0,0,0,6,1,NGA
770,MNM Aslam ,2019,6,4,0,55,26,13,59,93,0,0,1,4,1,KUW
771,C Carter ,2015,10,5,1,55,17,13,63,87,0,0,0,3,0,HKG
772,N Deonarine ,2010,8,7,2,55,36,11,53,103,0,0,3,5,0,WI
773,PWH de Silva ,2019,8,7,3,55,14,13,50,110,0,0,0,3,0,SL
774,GB Hogg ,2006,15,4,0,55,41,13,39,141,0,0,0,3,3,AUS
775,KM Jarvis ,2011,22,12,5,55,27,7,64,85,0,0,4,1,4,ZIM
777,OE Newey ,2019,7,6,1,55,23,11,66,83,0,0,1,2,0,GUE
778,R Satheesan ,2019,4,3,1,55,23,27,42,130,0,0,0,3,4,ROM
779,HS Baidwan ,2008,17,11,2,54,21,6,52,103,0,0,4,4,1,CAN
780,JW Chilia ,2019,14,7,4,54,23,18,54,100,0,0,0,3,3,VAN
781,M Dixit ,2019,3,2,0,54,38,27,59,91,0,0,0,6,2,LUX
782,GD Drummond ,2008,17,7,0,54,35,7,65,83,0,0,2,3,0,SCOT
783,JSE Dunford ,2019,17,9,3,54,29,9,67,80,0,0,3,2,0,JER
785,SMA Priyanjan ,2017,3,3,2,54,40,54,62,87,0,0,0,1,2,SL
786,BA King ,2019,6,5,0,53,31,10,50,106,0,0,0,6,1,WI
787,Usman Limbada ,2010,7,3,2,53,21,53,41,129,0,0,0,6,0,CAN
788,MRJ Watt ,2015,35,11,6,53,14,10,40,132,0,0,1,6,1,SCOT
789,TS Bharaj ,2019,9,8,0,52,19,6,77,67,0,0,1,2,0,DEN
792,RP Magar ,2014,6,6,0,52,25,8,89,58,0,0,1,0,3,NEPAL
794,DM Nakrani ,2019,4,4,1,52,19,17,48,108,0,0,0,2,3,UGA
795,Ovais Yousof ,2019,3,3,0,52,33,17,70,74,0,0,0,5,0,NGA
796,IS Billcliff ,2010,2,2,0,51,37,25,39,130,0,0,0,3,2,CAN
797,TGJ Gruijters ,2012,8,5,3,51,21,25,47,108,0,0,0,3,1,NL
799,Raqibul Hasan ,2008,5,5,0,51,18,10,62,82,0,0,0,3,1,BDESH
800,AU Rashid ,2009,40,15,8,51,9,7,61,83,0,0,0,4,0,ENG
801,HA Varaiya ,2007,25,12,11,51,18,51,81,62,0,0,0,1,0,KENYA
802,Hamid Hassan ,2010,22,9,6,50,22,16,46,108,0,0,0,3,2,AFG
804,Mohammad Yousuf ,2006,3,3,0,50,26,16,43,116,0,0,0,5,1,PAK
805,MJ Richardson ,2019,3,3,2,50,35,50,38,131,0,0,0,7,0,GER
807,U Bhatti ,2008,7,7,3,49,12,12,48,102,0,0,0,3,1,CAN
808,G Chaturvedi ,2019,2,2,0,49,25,24,29,168,0,0,0,6,1,MALTA
809,A Dananjaya ,2012,22,12,4,49,11,6,57,85,0,0,2,6,0,SL
810,JN Frylinck ,2019,14,7,4,49,19,16,47,104,0,0,1,2,1,NAM
811,CU Jayasinghe ,2009,5,3,2,49,38,49,49,100,0,0,0,3,1,SL
812,Junaid Siddiqui ,2012,13,7,3,49,21,12,41,119,0,0,1,2,2,CAN
813,HG Kuhn ,2009,7,6,2,49,29,12,42,116,0,0,0,3,2,SA
814,Nanda Kumar ,2019,3,3,0,49,39,16,58,84,0,0,1,3,2,CRC
815,SD Outerbridge ,2008,3,3,1,49,37,24,51,96,0,0,0,2,1,BMUDA
816,DA Rankin ,2015,2,2,0,49,34,24,54,90,0,0,0,3,2,IRE
818,DC Smith ,2019,4,4,1,49,22,16,53,92,0,0,0,5,0,PHI
819,K Weeraratne ,2008,5,5,2,49,20,16,45,108,0,0,0,4,1,SL
822,MIA Patel ,2019,3,2,1,48,40,48,44,109,0,0,0,6,1,MWI
823,Qalandar Khan ,2019,4,3,0,48,25,16,43,111,0,0,0,2,3,QAT
825,J Singye ,2019,2,2,0,48,40,24,64,75,0,0,0,2,0,BHU
826,C Zhuwao ,2008,7,7,0,48,24,6,66,72,0,0,4,7,1,ZIM
828,VD Adewoye ,2019,7,6,2,47,23,11,42,111,0,0,2,4,2,NGA
829,Delawar Khan ,2019,9,8,1,47,17,6,40,117,0,0,2,0,4,DEN
830,D Weston ,2019,6,6,0,47,18,7,54,87,0,0,2,5,1,GER
831,SA Ahmad ,2019,5,3,1,46,25,23,54,85,0,0,0,2,0,DEN
832,KM Dabengwa ,2006,8,7,3,46,16,11,40,115,0,0,0,4,2,ZIM
834,JW Hastings ,2010,9,6,2,46,15,11,37,124,0,0,0,3,1,AUS
835,Z Hoque ,2019,3,3,0,46,20,15,35,131,0,0,0,4,2,THAI
836,MM Iqbal ,2012,6,3,0,46,31,15,45,102,0,0,0,4,1,SCOT
837,RJ Trott ,2008,15,10,4,46,19,7,84,54,0,0,2,3,0,BMUDA
838,JJ van der Wath ,2006,8,4,1,46,21,15,39,117,0,0,0,3,1,SA
839,Anasim Khan ,2019,4,3,1,45,22,22,39,115,0,0,0,2,1,BAH
842,Haseeb Amjad ,2014,18,10,6,45,12,11,45,100,0,0,0,3,1,HKG
843,MG Hunter ,2019,4,3,0,45,27,15,61,73,0,0,0,2,1,GIBR
844,NJ Maddinson ,2013,6,4,0,45,34,11,35,128,0,0,0,6,1,AUS
846,T Munyonga ,2019,5,3,2,45,44,45,34,132,0,0,0,3,1,ZIM
847,Nazril Rahman ,2019,7,4,1,45,24,15,45,100,0,0,0,4,0,MAL
850,Zohaib Sarwar ,2019,4,4,1,45,33,15,46,97,0,0,2,1,4,PORT
852,AJ Ayannaike ,2019,3,3,0,44,33,14,43,102,0,0,1,4,2,NGA
854,JM Davison ,2008,5,5,0,44,19,8,40,110,0,0,2,2,3,CAN
