,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Final Region
1370,M Ntini ,2005,10,4,2,10,5,5,11,90,0,0,1,2,0,SA
1371,PP Ojha ,2009,6,1,1,10,10,0,6,166,0,0,0,0,1,INDIA
1372,BA Parchment ,2007,1,1,0,10,10,10,6,166,0,0,0,1,1,WI
1374,P Raho ,2016,2,2,2,10,8,0,6,166,0,0,0,0,1,PNG
1375,SHA Rance ,2017,8,3,0,10,8,3,21,47,0,0,0,0,0,NZ
1377,D Ravu ,2019,17,4,1,10,6,3,9,111,0,0,1,1,0,PNG
1379,ACL Richards ,2007,1,1,0,10,10,10,15,66,0,0,0,1,0,WI
1380,ZE Surkari ,2008,4,3,0,10,6,3,33,30,0,0,1,0,0,CAN
1381,SR Tendulkar ,2006,1,1,0,10,10,10,12,83,0,0,0,2,0,INDIA
1382,MA Wood ,2015,5,2,2,10,5,0,12,83,0,0,0,1,0,ENG
1383,Zahoor Khan ,2017,18,5,2,10,6,3,19,52,0,0,0,1,0,UAE
1384,Zakir Hasan ,2018,1,1,0,10,10,10,9,111,0,0,0,1,0,BDESH
1386,Afsar Zazai ,2013,1,1,0,9,9,9,21,42,0,0,0,0,0,AFG
1387,Anam Mollik ,2019,2,1,0,9,9,9,10,90,0,0,0,1,0,ITA
1390,JJ Celestine ,2008,3,3,0,9,7,3,17,52,0,0,1,0,0,BMUDA
1391,FRJ Coleman ,2013,1,1,0,9,9,9,13,69,0,0,0,1,0,SCOT
1392,BM Duckett ,2019,1,1,0,9,9,9,7,128,0,0,0,1,0,ENG
1393,Elias Sunny ,2012,7,4,2,9,5,4,9,100,0,0,0,1,0,BDESH
1394,H Hiri ,2016,5,4,0,9,4,2,15,60,0,0,0,0,0,PNG
1395,Iqbal Hussain ,2019,15,5,3,9,4,4,10,90,0,0,1,1,0,QAT
1396,NA Janes ,2019,2,2,0,9,9,4,11,81,0,0,1,1,0,THAI
1397,Kaleemullah ,2017,6,2,0,9,9,4,7,128,0,0,1,0,1,OMAN
1398,JS Kundi ,2019,6,4,0,9,6,2,22,40,0,0,1,1,0,KENYA
1399,R McLaren ,2009,12,4,3,9,6,9,13,69,0,0,0,0,0,SA
1400,Mohammad Asif ,2006,11,3,3,9,5,0,3,300,0,0,0,2,0,PAK
1401,Muhammad Asjed ,2019,2,1,0,9,9,9,9,100,0,0,0,1,0,ESP
1402,Muhammad Wafiq ,2019,4,3,1,9,6,4,12,75,0,0,1,1,0,MAL
1403,JS Patel ,2005,11,4,1,9,5,3,14,64,0,0,1,1,0,NZ
1404,WKD Perkins ,2008,1,1,0,9,9,9,11,81,0,0,0,1,0,WI
1406,A Poulose ,2017,3,3,0,9,9,3,14,64,0,0,2,2,0,OMAN
1407,KW Richardson ,2014,15,2,0,9,9,4,8,112,0,0,1,0,0,AUS
1408,IH Romaine ,2008,2,2,0,9,8,4,20,45,0,0,0,0,0,BMUDA
1410,MM Sarwar ,2019,5,3,1,9,8,4,9,100,0,0,1,0,1,KUW
1411,RAJ Smith ,2019,2,1,1,9,9,0,7,128,0,0,0,1,0,SCOT
1412,B Stanlake ,2017,19,2,1,9,7,9,12,75,0,0,0,0,1,AUS
1413,Syazrul Idrus ,2019,2,1,1,9,9,0,8,112,0,0,0,1,0,MAL
1415,T Wangchuk jnr ,2019,2,2,0,9,9,4,17,52,0,0,1,2,0,BHU
1416,S Waqas Ahmed ,2019,5,3,1,9,8,4,20,45,0,0,1,0,0,NOR
1418,S Appu ,2019,4,4,1,8,6,2,14,57,0,0,0,0,0,MALTA
1420,AM Blignaut ,2010,1,1,0,8,8,8,8,100,0,0,0,1,0,ZIM
1421,GH Bodi ,2007,1,1,0,8,8,8,25,32,0,0,0,0,0,SA
1422,JJ Bumrah ,2016,42,6,4,8,7,4,13,61,0,0,1,1,0,INDIA
1423,Charanjeet Singh ,2019,3,2,2,8,8,0,9,88,0,0,0,1,0,ITA
1425,AS Dean ,2008,2,2,0,8,7,4,10,80,0,0,0,0,0,CAN
1426,B Fernando ,2015,2,1,1,8,8,0,12,66,0,0,0,1,0,SL
1427,JD Freyone ,2019,4,4,0,8,4,2,29,27,0,0,2,0,0,GIBR
1428,Hamza Dar ,2019,1,1,0,8,8,8,6,133,0,0,0,1,0,ESP
1429,HMRKB Herath ,2011,17,6,3,8,3,2,12,66,0,0,0,0,0,SL
1430,E Isaneez ,2019,3,2,2,8,7,0,13,61,0,0,0,0,0,UGA
1431,S Randiv ,2010,7,2,0,8,6,4,6,133,0,0,0,1,0,SL
1432,N Khanna ,2019,2,2,0,8,6,4,12,66,0,0,0,1,0,MALTA
1433,Khushdil Shah ,2019,1,1,0,8,8,8,11,72,0,0,0,0,0,PAK
1434,Kuldeep Singh ,2019,4,3,0,8,6,2,16,50,0,0,0,0,0,PHI
1435,NCK Liyanage ,2019,6,3,1,8,8,4,8,100,0,0,1,1,0,MAL
1436,BAW Mendis ,2008,39,8,5,8,4,2,17,47,0,0,0,1,0,SL
1438,Mujeeb Ur Rahman ,2018,16,3,3,8,8,0,8,100,0,0,0,1,0,AFG
1439,WA Peatfield ,2019,8,2,1,8,7,8,12,66,0,0,0,1,0,GUE
1440,CAK Rajitha ,2016,10,4,2,8,5,4,23,34,0,0,1,0,0,SL
1441,Shahadat Hossain ,2006,6,5,3,8,4,4,12,66,0,0,1,0,0,BDESH
1442,I Sharma ,2008,14,3,2,8,5,8,9,88,0,0,1,1,0,INDIA
1443,Simranjit Singh ,2019,1,1,0,8,8,8,9,88,0,0,0,0,0,ITA
1444,O Thomas ,2018,10,4,2,8,8,4,11,72,0,0,2,2,0,WI
1445,R Vishwanath ,2019,2,2,0,8,5,4,10,80,0,0,0,1,0,LUX
1446,BV Vitori ,2012,11,2,2,8,7,0,7,114,0,0,0,0,0,ZIM
1447,Yasar Idrees ,2019,1,1,0,8,8,8,4,200,0,0,0,0,1,KUW
1448,Al-Amin Hossain ,2013,28,6,4,7,5,3,12,58,0,0,1,1,0,BDESH
1449,RP Arnold ,2006,1,1,0,7,7,7,7,100,0,0,0,0,0,SL
1451,PRP Boissevain ,2019,4,2,1,7,7,7,7,100,0,0,1,1,0,NL
1452,NB Budayair ,2014,4,3,1,7,5,3,19,36,0,0,1,0,0,NEPAL
1453,MA Carberry ,2014,1,1,0,7,7,7,7,100,0,0,0,1,0,ENG
1454,PKD Chase ,2018,12,5,4,7,4,7,13,53,0,0,0,1,0,IRE
1455,DK Dahyabhai Ahir ,2019,2,1,0,7,7,7,10,70,0,0,0,1,0,PNM
1456,P Danci ,2019,2,2,1,7,5,7,11,63,0,0,0,1,0,ROM
1457,DC Delany ,2019,8,2,0,7,7,3,6,116,0,0,1,0,0,IRE
1458,P Kumar ,2008,10,3,0,7,6,2,16,43,0,0,1,0,0,INDIA
1459,Kushal Malla ,2019,3,2,0,7,5,3,15,46,0,0,0,1,0,NEPAL
1460,RAS Lakmal ,2011,11,6,3,7,5,2,11,63,0,0,2,1,0,SL
1461,ND McKenzie ,2006,2,1,1,7,7,0,8,87,0,0,0,0,0,SA
1462,S Mahmood ,2019,3,2,1,7,4,7,7,100,0,0,0,1,0,ENG
1463,A Nao ,2017,2,2,2,7,7,0,4,175,0,0,0,1,0,PNG
1464,Naveen-ul-Haq ,2019,4,2,1,7,5,7,7,100,0,0,0,1,0,AFG
1465,J Nyumbu ,2018,2,2,2,7,6,0,11,63,0,0,0,1,0,ZIM
1466,Qadeer Ahmed ,2015,10,4,3,7,5,7,12,58,0,0,1,1,0,UAE
1468,GA Rogers ,2008,2,2,2,7,6,0,8,87,0,0,0,0,0,SCOT
1469,E Schiferli ,2008,7,3,1,7,5,3,16,43,0,0,1,0,0,NL
1470,JN Snape ,2007,1,1,0,7,7,7,11,63,0,0,0,0,0,ENG
1471,Suhail Sadiq ,2019,2,1,1,7,7,0,5,140,0,0,0,0,1,LUX
1472,Sumair Khan ,2019,1,1,0,7,7,7,6,116,0,0,0,1,0,MALTA
1473,Syed Rasel ,2007,8,3,1,7,6,3,9,77,0,0,0,1,0,BDESH
1474,Tanveer Ahmed ,2016,5,2,1,7,7,7,11,63,0,0,1,1,0,HKG
1475,LV van Beek ,2014,8,4,1,7,4,2,15,46,0,0,0,0,0,NL
1476,Adnan Mufti ,2017,1,1,1,6,6,0,7,85,0,0,0,0,0,UAE
1477,U Aryaman Sunil ,2019,2,1,0,6,6,6,4,150,0,0,0,0,1,SGP
1478,TS Braat ,2019,3,2,0,6,5,3,7,85,0,0,0,1,0,NL
1479,DG Brownlie ,2010,5,5,0,6,5,1,18,33,0,0,3,1,0,NZ
1482,RMS Eranga ,2012,3,1,0,6,6,6,7,85,0,0,0,1,0,SL
1484,NM Hauritz ,2009,3,2,0,6,4,3,10,60,0,0,0,1,0,AUS
1485,R Hekure ,2019,8,4,1,6,2,2,12,50,0,0,0,0,0,PNG
1486,PJ Hughes ,2014,1,1,0,6,6,6,8,75,0,0,0,1,0,AUS
1487,Javed Ahmadi ,2012,3,2,0,6,6,3,7,85,0,0,1,1,0,AFG
1488,Jay Odedra ,2019,3,1,1,6,6,0,6,100,0,0,0,0,0,OMAN
1492,KO Meth ,2012,2,1,1,6,6,0,6,100,0,0,0,0,0,ZIM
1493,J Mulder ,2016,8,4,2,6,5,3,11,54,0,0,1,0,0,IRE
1494,GBW Munaweera ,2019,5,1,1,6,6,0,7,85,0,0,0,0,0,QAT
1495,L Ngidi ,2017,7,2,1,6,4,6,9,66,0,0,0,0,0,SA
1496,Omar Hayat ,2019,2,2,0,6,5,3,4,150,0,0,0,0,0,DEN
1497,JA Rudolph ,2006,1,1,1,6,6,0,7,85,0,0,0,0,0,SA
1499,OF Smith ,2018,2,1,0,6,6,6,5,120,0,0,0,1,0,WI
1500,R Strydom ,2008,4,2,1,6,5,6,7,85,0,0,0,0,0,IRE
1501,HER Tyler ,2019,2,1,0,6,6,6,9,66,0,0,0,0,0,PHI
1502,TC Vine ,2019,6,1,1,6,6,0,7,85,0,0,0,1,0,ESP
1503,CA Young ,2015,26,7,5,6,2,3,11,54,0,0,0,0,0,IRE
1504,SA Abbott ,2014,4,1,0,5,5,5,8,62,0,0,0,1,0,AUS
1505,M Ansari ,2015,11,4,4,5,3,0,10,50,0,0,0,0,0,OMAN
1506,Anwar Rahman ,2019,9,4,1,5,3,1,8,62,0,0,1,0,0,MAL
1508,MS Atapattu ,2006,2,1,0,5,5,5,8,62,0,0,0,0,0,SL
1509,Atif Mehmood ,2019,9,2,2,5,5,0,8,62,0,0,0,0,0,ESP
1510,MA Baig ,2019,7,4,0,5,5,1,12,41,0,0,3,1,0,MWI
1511,A Bhagwat ,2019,4,4,0,5,3,1,16,31,0,0,1,0,0,HKG
1512,A Bohara ,2019,17,5,2,5,3,1,12,41,0,0,2,0,0,NEPAL
1513,IG Butler ,2009,19,6,5,5,2,5,10,50,0,0,0,0,0,NZ
1514,T Caruana ,2019,2,1,0,5,5,5,13,38,0,0,0,0,0,GIBR
1515,Hasheem Shahzad ,2019,2,2,0,5,5,2,9,55,0,0,1,1,0,MALTA
1516,Imran Ali ,2019,4,2,1,5,5,5,6,83,0,0,1,0,0,KUW
1517,Junaid Siddique ,2019,8,4,1,5,3,1,17,29,0,0,1,0,0,UAE
1520,TCR Kimber ,2019,3,3,0,5,2,1,13,38,0,0,0,0,0,GUE
1521,A Krishna ,2019,4,2,1,5,4,5,3,166,0,0,0,1,0,SGP
1522,AM McCarthy ,2018,1,1,0,5,5,5,8,62,0,0,0,0,0,WI
1523,GD McGrath ,2005,2,1,0,5,5,5,12,41,0,0,0,0,0,AUS
1524,CS Martin ,2007,6,1,1,5,5,0,6,83,0,0,0,0,0,NZ
1525,Mohammad Hasnain ,2019,4,3,2,5,4,5,12,41,0,0,0,1,0,PAK
1526,Mohammad Salman ,2011,1,1,0,5,5,5,6,83,0,0,0,0,0,PAK
1528,GRD Munasinghe ,2019,8,4,1,5,4,1,13,38,0,0,2,1,0,ITA
1529,T Mupariwa ,2007,4,2,2,5,3,0,3,166,0,0,0,0,0,ZIM
1530,N M'shangwe ,2013,5,2,1,5,5,5,4,125,0,0,1,1,0,ZIM
1531,A Nanda ,2019,3,1,0,5,5,5,5,100,0,0,0,1,0,LUX
1532,GM Ntambalika ,2019,3,1,0,5,5,5,11,45,0,0,0,0,0,MWI
1533,Parvez Rasool ,2017,1,1,0,5,5,5,6,83,0,0,0,0,0,INDIA
1534,NK Patel ,2019,4,2,1,5,5,5,10,50,0,0,1,0,0,USA
1535,D Paterson ,2017,8,2,1,5,4,5,2,250,0,0,0,1,0,SA
1536,JL Pattinson ,2011,4,2,2,5,5,0,3,166,0,0,0,1,0,AUS
1537,JE Pitcher ,2019,3,1,1,5,5,0,4,125,0,0,0,0,0,BMUDA
1538,AG Prince ,2005,1,1,0,5,5,5,6,83,0,0,0,0,0,SA
1539,K Rabada ,2014,21,4,2,5,5,2,12,41,0,0,2,0,0,SA
1540,RJ Ranpura ,2015,3,2,2,5,5,0,8,62,0,0,0,0,0,OMAN
1541,BM Scholtz ,2019,14,4,3,5,3,5,10,50,0,0,1,0,0,NAM
1542,RJ Sidebottom ,2007,18,1,1,5,5,0,4,125,0,0,0,1,0,ENG
1544,R Telemachus ,2006,3,1,1,5,5,0,3,166,0,0,0,0,0,SA
1545,BM Tickner ,2019,3,1,1,5,5,0,6,83,0,0,0,0,0,NZ
1546,DR Tuffey ,2005,3,2,1,5,5,5,5,100,0,0,1,1,0,NZ
1547,C Vorster ,2019,1,1,0,5,5,5,8,62,0,0,0,0,0,GUE
1548,TD Astle ,2016,3,2,0,4,3,2,10,40,0,0,0,0,0,NZ
1549,Baljit Singh ,2019,8,3,0,4,3,1,16,25,0,0,1,0,0,ITA
1550,GJ Batty ,2009,1,1,0,4,4,4,7,57,0,0,0,0,0,ENG
1551,P Bharat Patel ,2019,2,1,1,4,4,0,7,57,0,0,0,0,0,PNM
1552,SR Bhudia ,2019,4,3,1,4,3,2,16,25,0,0,1,0,0,KENYA
1553,JAR Blain ,2007,6,3,1,4,3,2,5,80,0,0,1,0,0,SCOT
1554,CJ Boyce ,2014,7,2,1,4,3,4,7,57,0,0,0,0,0,AUS
1555,PR Brown ,2019,4,1,1,4,4,0,9,44,0,0,0,0,0,ENG
1556,NM Carter ,2013,7,2,0,4,3,2,12,33,0,0,0,0,0,SCOT
1557,YS Chahal ,2016,36,3,2,4,3,4,9,44,0,0,0,0,0,INDIA
1558,PC Connell ,2008,9,3,2,4,3,4,7,57,0,0,1,0,0,IRE
1559,PA Desai ,2012,1,1,1,4,4,0,7,57,0,0,0,0,0,CAN
1560,AB Dursak ,2019,4,4,0,4,3,1,24,16,0,0,2,0,0,TKY
1562,Farhan Ahmed ,2016,3,1,0,4,4,4,8,50,0,0,0,0,0,UAE
1563,K Gore ,2019,4,1,1,4,4,0,3,133,0,0,0,0,0,USA
1565,Imran Haider ,2016,11,2,2,4,4,0,8,50,0,0,0,0,0,UAE
1567,A Karn ,2015,2,1,0,4,4,4,7,57,0,0,0,0,0,NEPAL
1568,MF Koc ,2019,2,2,1,4,4,4,15,26,0,0,1,0,0,TKY
1569,CBRLS Kumara ,2019,3,1,0,4,4,4,2,200,0,0,0,1,0,SL
1570,CK Langeveldt ,2005,9,3,2,4,2,4,8,50,0,0,0,0,0,SA
1571,NM Lyon ,2016,2,1,1,4,4,0,4,100,0,0,0,0,0,AUS
1572,RT Lyons ,2010,2,2,0,4,4,2,17,23,0,0,1,0,0,SCOT
1573,GE Mathurin ,2011,3,2,2,4,3,0,5,80,0,0,0,0,0,WI
1574,Mohammad Irfan ,2012,22,4,4,4,2,0,8,50,0,0,0,0,0,PAK
1575,Mohammad Tauqir ,2015,3,2,1,4,4,4,6,66,0,0,0,1,0,UAE
1576,Muhammad Khurram ,2019,5,3,0,4,3,1,20,20,0,0,1,0,0,MWI
1577,Muhammad Rafique ,2019,2,1,0,4,4,4,5,80,0,0,0,0,0,BAH
1578,JM Muirhead ,2014,5,2,1,4,3,4,8,50,0,0,0,0,0,AUS
1579,Nazmus Sadat ,2006,1,1,0,4,4,4,3,133,0,0,0,0,0,BDESH
1580,JO Ngoche ,2012,7,3,1,4,2,2,17,23,0,0,0,0,0,KENYA
1581,Pavandeep Singh ,2019,10,4,3,4,2,4,7,57,0,0,0,0,0,MAL
1582,Qasim Zia ,2019,3,1,1,4,4,0,1,400,0,0,0,1,0,BAH
1583,NJ Reardon ,2014,2,1,0,4,4,4,8,50,0,0,0,0,0,AUS
1584,CB Sole ,2017,4,1,1,4,4,0,2,200,0,0,0,1,0,SCOT
1585,CR Suryawanshi ,2019,3,2,0,4,4,2,6,66,0,0,1,0,0,SGP
1586,K Suttisan ,2019,2,2,0,4,4,2,5,80,0,0,1,1,0,THAI
1587,SP Terry ,2016,1,1,0,4,4,4,6,66,0,0,0,0,0,IRE
1588,T Thushara ,2008,6,2,0,4,3,2,8,50,0,0,0,0,0,SL
1590,T Ulutuna ,2019,3,3,0,4,4,1,9,44,0,0,2,1,0,TKY
1591,S Vashisht ,2019,3,1,0,4,4,4,6,66,0,0,0,1,0,ROM
1592,Abu Jayed ,2018,3,2,0,3,2,1,7,42,0,0,0,0,0,BDESH
1593,GJ Agius ,2019,2,2,0,3,3,1,15,20,0,0,1,0,0,MALTA
1594,Amir Hayat ,2018,4,2,0,3,3,1,6,50,0,0,1,0,0,UAE
1595,Amjad Mahboob ,2019,11,5,1,3,1,0,14,21,0,0,2,0,0,SGP
1597,MC Bascombe ,2011,1,1,0,3,3,3,7,42,0,0,0,0,0,WI
1598,P Bhart ,2019,5,3,2,3,2,3,17,17,0,0,1,0,0,NOR
1599,S Byrne ,2019,2,2,0,3,3,1,9,33,0,0,1,0,0,MALTA
1600,CL Cairns ,2005,2,2,0,3,2,1,13,23,0,0,0,0,0,NZ
1602,ST de Silva ,2017,3,2,0,3,3,1,7,42,0,0,1,0,0,SL
1604,Fawad Ahmed ,2013,2,1,1,3,3,0,5,60,0,0,0,0,0,AUS
1605,Fida Hussain ,2019,2,1,1,3,3,0,4,75,0,0,0,0,0,ITA
1606,WT Gavera ,2015,6,2,0,3,2,1,6,50,0,0,0,0,0,PNG
1607,JOA Gordon ,2013,7,2,2,3,2,0,6,50,0,0,0,0,0,CAN
1608,AM Guruge ,2014,5,3,2,3,1,3,8,37,0,0,0,0,0,UAE
1610,Javed Maroofkhail ,2019,2,1,0,3,3,3,8,37,0,0,0,0,0,NOR
1611,Junaid Khan ,2011,9,2,2,3,3,0,4,75,0,0,0,0,0,PAK
1612,MS Kasprowicz ,2005,2,1,1,3,3,0,5,60,0,0,0,0,0,AUS
1613,GJP Kruger ,2006,1,1,0,3,3,3,5,60,0,0,0,0,0,SA
1614,Mahmad Data ,2019,2,1,0,3,3,3,5,60,0,0,0,0,0,PNM
1615,Nazmul Hossain ,2009,4,2,2,3,3,0,15,20,0,0,0,0,0,BDESH
1616,R Olipa ,2019,2,1,0,3,3,3,4,75,0,0,0,0,0,UGA
1617,M Patel ,2019,2,1,1,3,3,0,6,50,0,0,0,0,0,PNM
1618,LN Rajbanshi ,2018,12,2,1,3,3,3,7,42,0,0,0,0,0,NEPAL
1619,KAJ Roach ,2008,11,1,1,3,3,0,2,150,0,0,0,0,0,WI
1620,MM Sharma ,2014,8,2,2,3,3,0,7,42,0,0,0,0,0,INDIA
1622,RP Singh ,2007,10,2,2,3,2,0,3,100,0,0,0,0,0,INDIA
1623,MJ Swepson ,2018,1,1,1,3,3,0,4,75,0,0,0,0,0,AUS
1624,Tauqeer Hussain ,2019,4,1,1,3,3,0,3,100,0,0,0,0,0,ESP
1625,R Ulutuna ,2019,4,4,0,3,1,0,16,18,0,0,1,0,0,TKY
1626,SMK Waththage ,2019,5,1,0,3,3,3,5,60,0,0,0,0,0,CZK-R
1627,Zahid Hussain ,2012,3,2,2,3,2,0,8,37,0,0,0,0,0,CAN
1628,Abdullah Mahmood ,2019,1,1,0,2,2,2,2,100,0,0,0,0,0,DEN
1629,AG Achar ,2019,3,2,2,2,2,0,2,100,0,0,0,0,0,SGP
1630,N Advani ,2019,1,1,0,2,2,2,4,50,0,0,0,0,0,GIBR
1631,Aftab Alam ,2012,12,5,3,2,1,1,9,22,0,0,1,0,0,AFG
1633,Arshad Hayat ,2019,6,2,0,2,2,1,7,28,0,0,1,0,0,CZK-R
1634,KMC Bandara ,2016,1,1,1,2,2,0,4,50,0,0,0,0,0,SL
1635,Bashir Shah ,2019,4,2,2,2,1,0,2,100,0,0,0,0,0,DEN
1636,A Bhattarai ,2014,1,1,0,2,2,2,3,66,0,0,0,0,0,NEPAL
1637,JP Bray ,2009,2,2,0,2,2,1,17,11,0,0,1,0,0,IRE
1638,GB Brent ,2006,3,1,0,2,2,2,5,40,0,0,0,0,0,ZIM
1639,P Buccimazza ,2019,4,2,0,2,1,1,13,15,0,0,0,0,0,PORT
1641,S Chophel ,2019,1,1,1,2,2,0,5,40,0,0,0,0,0,BHU
1643,Dawlat Ahmadzai ,2010,2,1,1,2,2,0,3,66,0,0,0,0,0,AFG
1644,MVT Fernando ,2017,1,1,0,2,2,2,2,100,0,0,0,0,0,SL
1645,C Fry ,2019,3,1,0,2,2,2,6,33,0,0,0,0,0,LUX
1646,BD Glover ,2019,19,4,3,2,1,2,8,25,0,0,1,0,0,NL
1647,Jandu Hamoud ,2019,6,1,0,2,2,2,4,50,0,0,0,0,0,KUW
1648,RJ Harris ,2010,3,1,1,2,2,0,1,200,0,0,0,0,0,AUS
1649,BW Hilfenhaus ,2007,7,3,1,2,2,1,10,20,0,0,1,0,0,AUS
1651,Ilyas Ahmed ,2019,6,3,2,2,1,2,3,66,0,0,0,0,0,KUW
1652,AJ Ireland ,2006,1,1,1,2,2,0,3,66,0,0,0,0,0,ZIM
1653,S Kansoy ,2019,4,4,0,2,2,0,7,28,0,0,3,0,0,TKY
1654,A Khan ,2009,1,1,0,2,2,2,4,50,0,0,0,0,0,ENG
1655,RJ Kirtley ,2007,1,1,1,2,2,0,4,50,0,0,0,0,0,ENG
1657,J Long ,2019,2,1,1,2,2,0,6,33,0,0,0,0,0,PHI
1658,T Lungameni ,2019,6,1,1,2,2,0,2,100,0,0,0,0,0,NAM
1659,MJ Mason ,2006,3,1,0,2,2,2,2,100,0,0,0,0,0,NZ
1660,Muslim Yar ,2019,7,1,0,2,2,2,6,33,0,0,0,0,0,GER
1661,S Nadigotla ,2019,2,1,0,2,2,2,6,33,0,0,0,0,0,ROM
1662,Najeeb Amar ,2014,1,1,0,2,2,2,9,22,0,0,0,0,0,HKG
1663,W Nalisa ,2019,9,3,2,2,1,2,4,50,0,0,1,0,0,VAN
1665,A Ndlovu ,2019,3,1,0,2,2,2,4,50,0,0,0,0,0,ZIM
1666,K Nima ,2019,1,1,1,2,2,0,3,66,0,0,0,0,0,BHU
1668,L Nou ,2015,3,1,1,2,2,0,3,66,0,0,0,0,0,PNG
1672,Suhrid Roy ,2019,1,1,1,2,2,0,3,66,0,0,0,0,0,MALTA
1674,LL Tsotsobe ,2009,23,3,2,2,1,2,10,20,0,0,0,0,0,SA
1675,Usman Shinwari ,2013,16,3,3,2,2,0,3,66,0,0,0,0,0,PAK
1676,S Vijayakumar ,2019,9,2,0,2,1,1,5,40,0,0,0,0,0,SGP
1677,R Vinay Kumar ,2010,9,1,1,2,2,0,4,50,0,0,0,0,0,INDIA
1680,UWMBCA Welegedara ,2010,2,1,1,2,2,0,3,66,0,0,0,0,0,SL
1681,BTJ Wheal ,2016,5,2,2,2,2,0,2,100,0,0,0,0,0,SCOT
1682,UT Yadav ,2012,7,1,0,2,2,2,4,50,0,0,0,0,0,INDIA
1683,Zaheer Maqsood ,2015,3,1,0,2,2,2,5,40,0,0,0,0,0,UAE
1685,KK Ahmed ,2018,14,1,1,1,1,0,1,100,0,0,0,0,0,INDIA
1687,HS Alta ,2019,4,4,1,1,1,0,10,10,0,0,3,0,0,TKY
1688,JM Anderson ,2007,19,4,3,1,1,1,2,50,0,0,1,0,0,ENG
1691,Awais Malik ,2019,11,4,0,1,1,0,4,25,0,0,3,0,0,QAT
1692,Babar Ali ,2019,3,1,1,1,1,0,1,100,0,0,0,0,0,BAH
1693,DE Bernard ,2009,1,1,1,1,1,0,1,100,0,0,0,0,0,WI
1694,S Bhari ,2019,6,3,2,1,1,1,5,20,0,0,1,0,0,NEPAL
1695,DE Bollinger ,2011,9,2,2,1,1,0,1,100,0,0,0,0,0,AUS
1696,DR Brown ,2007,2,1,0,1,1,1,5,20,0,0,0,0,0,SCOT
1697,N Buckle ,2019,3,1,1,1,1,0,1,100,0,0,0,0,0,GUE
1698,DL Chahar ,2018,10,2,2,1,1,0,1,100,0,0,0,0,0,INDIA
1699,R Dhawan ,2016,1,1,1,1,1,0,2,50,0,0,0,0,0,INDIA
1700,Dhiman Ghosh ,2008,1,1,0,1,1,1,2,50,0,0,0,0,0,BDESH
1701,HH Dippenaar ,2006,1,1,0,1,1,1,5,20,0,0,0,0,0,SA
1703,GDR Eranga ,2019,9,1,0,1,1,1,1,100,0,0,0,0,0,CAN
1704,AC Evans ,2015,27,6,1,1,1,0,10,10,0,0,5,0,0,SCOT
1705,LH Ferguson ,2017,8,1,0,1,1,1,3,33,0,0,0,0,0,NZ
1706,P Florin ,2019,4,2,1,1,1,1,1,100,0,0,1,0,0,ROM
1707,MD Garratt ,2019,4,2,1,1,1,1,5,20,0,0,0,0,0,GIBR
1709,O Goker ,2019,1,1,1,1,1,0,1,100,0,0,0,0,0,TKY
1710,Hashmatullah Shahidi ,2013,1,1,1,1,1,0,1,100,0,0,0,0,0,AFG
1712,JS Jesani ,2007,1,1,0,1,1,1,5,20,0,0,0,0,0,KENYA
1713,MBS Jonkman ,2010,3,1,0,1,1,1,8,12,0,0,0,0,0,NL
1715,GE Kidd ,2010,1,1,1,1,1,0,1,100,0,0,0,0,0,IRE
1716,VJ Kingma ,2016,4,2,1,1,1,1,5,20,0,0,0,0,0,NL
1717,DS Kulkarni ,2016,2,1,1,1,1,0,1,100,0,0,0,0,0,INDIA
1719,J Lewis ,2005,2,2,1,1,1,1,4,25,0,0,0,0,0,ENG
1720,J Louw ,2008,2,1,1,1,1,0,1,100,0,0,0,0,0,SA
1721,R Mahajan ,2019,3,1,1,1,1,0,1,100,0,0,0,0,0,PHI
1722,SI Mahmood ,2006,4,2,2,1,1,0,2,50,0,0,0,0,0,ENG
1723,RD McCann ,2012,3,1,0,1,1,1,2,50,0,0,0,0,0,IRE
1724,MR Montfort ,2019,1,1,1,1,1,0,1,100,0,0,0,0,0,CAN
1725,Muhammed Shanil ,2016,1,1,1,1,1,0,3,33,0,0,0,0,0,UAE
1726,M Muralitharan ,2006,12,2,0,1,1,0,5,20,0,0,1,0,0,SL
1727,B Muzarabani ,2018,6,3,2,1,1,1,5,20,0,0,1,0,0,ZIM
1728,M Nasim Baras ,2015,3,1,0,1,1,1,2,50,0,0,0,0,0,AFG
1730,R Neale ,2019,3,2,0,1,1,0,6,16,0,0,1,0,0,LUX
1731,ML Nkala ,2006,1,1,0,1,1,1,3,33,0,0,0,0,0,ZIM
1732,MS Panesar ,2007,1,1,0,1,1,1,2,50,0,0,0,0,0,ENG
1733,SD Parry ,2014,5,1,0,1,1,1,1,100,0,0,0,0,0,ENG
1734,MDK Perera ,2011,3,2,0,1,1,0,6,16,0,0,1,0,0,SL
1735,DBL Powell ,2007,5,1,1,1,1,0,1,100,0,0,0,0,0,WI
1736,EC Rainsford ,2010,2,1,1,1,1,0,2,50,0,0,0,0,0,ZIM
1737,KB Ratilal ,2019,3,1,1,1,1,0,2,50,0,0,0,0,0,PNM
1738,EB Ringera ,2019,1,1,0,1,1,1,3,33,0,0,0,0,0,KENYA
