,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w
68,Basil Thampi,1,1,4,46,1,46.0,11.5,24.0,0,0
69,Imran Tahir,3,3,11,76,1,76.0,6.9,66.0,0,0
70,Jayant Yadav,2,2,7,43,1,43.0,6.14,42.0,0,0
71,Andrew Tye,1,1,4,50,1,50.0,12.5,24.0,0,0
72,Josh Hazlewood,3,3,10,64,1,64.0,6.4,60.0,0,0
73,Mohit Sharma,1,1,4,45,1,45.0,11.25,24.0,0,0
74,Krishnappa Gowtham,2,2,8,84,1,84.0,10.5,48.0,0,0
75,Moeen Ali,3,3,5,42,1,42.0,8.4,30.0,0,0
76,Kuldeep Yadav,5,4,12,92,1,92.0,7.66,72.0,0,0
77,Abdul Samad,12,3,7,96,1,96.0,13.71,42.0,0,0
